Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Coling Tons, Cooling CFM,Total Cooling Load (Btu/h),Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Heating CFM,Total Heating Load (Btu/h),Instant Sensible Heating,Delay Sensible Heating,Latent Heating
Room 04-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2491.0,1232.0,1015.0,244.0,107.0,-1014.0,-729.0,-278.0,0.0
Room 04-10,200.0,1453.2,2.0,21.0,21.0,0.21,107.0,2487.0,1229.0,1014.0,244.0,107.0,-1043.0,-727.0,-309.0,0.0
Room 04-11,145.0,1028.7,1.2,0,0,0.17,81.0,2002.0,1111.0,592.0,299.0,81.0,-1083.0,-573.0,-510.0,0.0
Room 04-12,290.0,2129.1,2.0,26.0,26.0,0.27,139.0,3193.0,1573.0,1361.0,259.0,139.0,-2235.0,-1386.0,-838.0,0.0
Room 04-13,537.0,4010.7,0.47,0,0,0.25,134.0,3014.0,1630.0,1201.0,184.0,134.0,-2178.0,-1990.0,-178.0,0.0
Room 04-14,196.0,1418.6,0.16,0,0,0.09,49.0,1101.0,576.0,459.0,65.0,49.0,-795.0,-704.0,-87.0,0.0
Room 04-15,130.0,920.7,1.07,0,0,0.09,38.0,1060.0,421.0,372.0,267.0,38.0,-54.0,0.0,-54.0,0.0
Room 04-16,159.0,1136.4,1.32,0,0,0.18,86.0,2137.0,1256.0,550.0,330.0,86.0,-1873.0,-1147.0,-726.0,0.0
Room 04-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2754.0,1506.0,1050.0,198.0,121.0,-475.0,-395.0,-73.0,0.0
Room 04-18,208.0,1516.1,2.0,21.0,21.0,0.22,114.0,2668.0,1354.0,1055.0,260.0,114.0,-1427.0,-707.0,-712.0,0.0
Room 04-19,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2598.0,1302.0,1071.0,225.0,113.0,-994.0,-697.0,-289.0,0.0
Room 04-20,197.0,1428.8,2.0,21.0,21.0,0.22,114.0,2620.0,1311.0,1084.0,225.0,114.0,-983.0,-702.0,-274.0,0.0
Room 04-21,192.0,1386.1,2.0,20.0,20.0,0.22,112.0,2592.0,1297.0,1070.0,225.0,112.0,-964.0,-696.0,-262.0,0.0
Room 04-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2611.0,1307.0,1079.0,225.0,113.0,-976.0,-700.0,-269.0,0.0
Room 04-23,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2601.0,1302.0,1074.0,225.0,113.0,-970.0,-698.0,-265.0,0.0
Room 04-24,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2611.0,1307.0,1080.0,225.0,113.0,-976.0,-700.0,-269.0,0.0
Room 04-25,190.0,1372.0,2.0,20.0,20.0,0.22,112.0,2582.0,1292.0,1065.0,225.0,112.0,-960.0,-693.0,-259.0,0.0
Room 04-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2624.0,1316.0,1083.0,224.0,114.0,-1013.0,-703.0,-302.0,0.0
Room 04-27,198.0,1434.5,2.0,21.0,21.0,0.22,110.0,2584.0,1326.0,1000.0,258.0,110.0,-1396.0,-695.0,-693.0,0.0
Room 04-28,148.0,1055.9,0.12,0,0,0.07,39.0,875.0,429.0,397.0,49.0,39.0,-572.0,-524.0,-46.0,0.0
Room 05-00,1602.0,11290.1,1.41,85.0,85.0,0.75,422.0,8971.0,4462.0,4419.0,91.0,422.0,-2553.0,-1462.0,-1069.0,0.0
Room 05-01,209.0,1520.6,2.0,21.0,21.0,0.21,108.0,2528.0,1263.0,1017.0,248.0,108.0,-1455.0,-731.0,-716.0,0.0
Room 05-02,196.0,1418.9,2.0,21.0,21.0,0.2,105.0,2458.0,1215.0,1000.0,244.0,105.0,-1023.0,-724.0,-292.0,0.0
Room 05-03,200.0,1447.5,2.0,21.0,21.0,0.21,106.0,2480.0,1225.0,1011.0,244.0,106.0,-1012.0,-728.0,-277.0,0.0
Room 05-04,194.0,1404.5,2.0,21.0,21.0,0.2,105.0,2450.0,1210.0,997.0,244.0,105.0,-993.0,-722.0,-264.0,0.0
Room 05-05,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2470.0,1220.0,1007.0,244.0,106.0,-1005.0,-726.0,-271.0,0.0
Room 05-06,196.0,1418.9,2.0,21.0,21.0,0.2,105.0,2460.0,1215.0,1001.0,244.0,105.0,-999.0,-724.0,-267.0,0.0
Room 05-07,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2471.0,1220.0,1007.0,244.0,106.0,-1005.0,-726.0,-271.0,0.0
Room 05-08,192.0,1390.0,2.0,20.0,20.0,0.2,104.0,2440.0,1205.0,992.0,244.0,104.0,-987.0,-720.0,-260.0,0.0
Room 05-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2489.0,1230.0,1016.0,244.0,107.0,-1019.0,-730.0,-281.0,0.0
Room 05-10,200.0,1453.2,2.0,21.0,21.0,0.21,106.0,2485.0,1227.0,1014.0,244.0,106.0,-1048.0,-728.0,-312.0,0.0
Room 05-11,145.0,1028.7,1.2,0,0,0.17,81.0,2005.0,1109.0,598.0,299.0,81.0,-1087.0,-575.0,-512.0,0.0
Room 05-12,290.0,2129.1,2.0,26.0,26.0,0.27,139.0,3191.0,1571.0,1361.0,259.0,139.0,-2242.0,-1389.0,-842.0,0.0
Room 05-13,537.0,4010.7,0.47,0,0,0.25,134.0,3013.0,1629.0,1200.0,184.0,134.0,-2192.0,-1991.0,-191.0,0.0
Room 05-14,196.0,1418.6,0.16,0,0,0.09,49.0,1100.0,576.0,459.0,65.0,49.0,-799.0,-704.0,-91.0,0.0
Room 05-15,130.0,920.7,1.07,0,0,0.09,38.0,1061.0,421.0,372.0,267.0,38.0,-56.0,0.0,-56.0,0.0
Room 05-16,159.0,1136.4,1.32,0,0,0.18,86.0,2133.0,1254.0,549.0,330.0,86.0,-1879.0,-1151.0,-728.0,0.0
Room 05-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2754.0,1506.0,1050.0,198.0,121.0,-478.0,-396.0,-77.0,0.0
Room 05-18,208.0,1516.1,2.0,21.0,21.0,0.22,114.0,2665.0,1353.0,1053.0,259.0,114.0,-1432.0,-708.0,-715.0,0.0
Room 05-19,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2595.0,1300.0,1071.0,225.0,113.0,-998.0,-699.0,-292.0,0.0
Room 05-20,197.0,1428.8,2.0,21.0,21.0,0.22,114.0,2617.0,1310.0,1083.0,225.0,114.0,-988.0,-703.0,-278.0,0.0
Room 05-21,192.0,1386.1,2.0,20.0,20.0,0.22,112.0,2589.0,1295.0,1069.0,225.0,112.0,-969.0,-697.0,-264.0,0.0
Room 05-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2608.0,1305.0,1079.0,225.0,113.0,-980.0,-701.0,-272.0,0.0
Room 05-23,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2599.0,1300.0,1074.0,225.0,113.0,-974.0,-699.0,-268.0,0.0
Room 05-24,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2609.0,1305.0,1079.0,225.0,113.0,-981.0,-701.0,-272.0,0.0
Room 05-25,190.0,1372.0,2.0,20.0,20.0,0.21,112.0,2580.0,1290.0,1065.0,225.0,112.0,-964.0,-695.0,-262.0,0.0
Room 05-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2621.0,1315.0,1082.0,224.0,114.0,-1017.0,-705.0,-305.0,0.0
Room 05-27,198.0,1434.5,2.0,21.0,21.0,0.22,110.0,2581.0,1324.0,1000.0,258.0,110.0,-1400.0,-696.0,-696.0,0.0
Room 05-28,148.0,1055.9,0.12,0,0,0.07,39.0,875.0,429.0,397.0,49.0,39.0,-576.0,-524.0,-49.0,0.0
Room 06-00,1602.0,11290.1,1.41,85.0,85.0,0.75,422.0,8985.0,4456.0,4438.0,91.0,422.0,-2809.0,-1465.0,-1321.0,0.0
Room 06-01,209.0,1520.6,2.0,21.0,21.0,0.21,109.0,2538.0,1261.0,1029.0,248.0,109.0,-1486.0,-732.0,-746.0,0.0
Room 06-02,196.0,1418.9,2.0,21.0,21.0,0.21,106.0,2469.0,1213.0,1013.0,244.0,106.0,-1053.0,-725.0,-321.0,0.0
Room 06-03,200.0,1447.5,2.0,21.0,21.0,0.21,107.0,2491.0,1223.0,1024.0,244.0,107.0,-1043.0,-729.0,-307.0,0.0
Room 06-04,194.0,1404.5,2.0,21.0,21.0,0.21,105.0,2461.0,1208.0,1010.0,244.0,105.0,-1023.0,-723.0,-293.0,0.0
Room 06-05,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2481.0,1218.0,1020.0,244.0,106.0,-1036.0,-727.0,-301.0,0.0
Room 06-06,196.0,1418.9,2.0,21.0,21.0,0.21,106.0,2471.0,1213.0,1014.0,244.0,106.0,-1029.0,-725.0,-296.0,0.0
Room 06-07,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2482.0,1218.0,1020.0,244.0,106.0,-1035.0,-727.0,-301.0,0.0
Room 06-08,192.0,1390.0,2.0,20.0,20.0,0.2,105.0,2451.0,1202.0,1005.0,244.0,105.0,-1016.0,-721.0,-288.0,0.0
Room 06-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2501.0,1228.0,1029.0,244.0,107.0,-1050.0,-731.0,-311.0,0.0
Room 06-10,200.0,1453.2,2.0,21.0,21.0,0.21,107.0,2497.0,1225.0,1028.0,244.0,107.0,-1078.0,-729.0,-342.0,0.0
Room 06-11,145.0,1028.7,1.2,0,0,0.17,81.0,2009.0,1107.0,603.0,299.0,81.0,-1108.0,-577.0,-531.0,0.0
Room 06-12,290.0,2129.1,2.0,26.0,26.0,0.27,140.0,3207.0,1569.0,1379.0,259.0,140.0,-2284.0,-1391.0,-882.0,0.0
Room 06-13,537.0,4010.7,0.47,0,0,0.24,135.0,2908.0,1627.0,1209.0,73.0,135.0,-2282.0,-1992.0,-279.0,0.0
Room 06-14,196.0,1418.6,0.16,0,0,0.09,49.0,1103.0,568.0,469.0,65.0,49.0,-830.0,-705.0,-122.0,0.0
Room 06-15,130.0,920.7,1.07,0,0,0.09,38.0,1069.0,421.0,380.0,267.0,38.0,-77.0,0.0,-77.0,0.0
Room 06-16,159.0,1136.4,1.32,0,0,0.18,86.0,2134.0,1251.0,553.0,330.0,86.0,-1902.0,-1155.0,-747.0,0.0
Room 06-17,203.0,1476.2,4.3,65.0,65.0,0.23,122.0,2762.0,1495.0,1069.0,198.0,122.0,-513.0,-396.0,-111.0,0.0
Room 06-18,208.0,1516.1,2.0,21.0,21.0,0.22,114.0,2664.0,1351.0,1054.0,259.0,114.0,-1463.0,-709.0,-745.0,0.0
Room 06-19,193.0,1400.6,2.0,21.0,21.0,0.22,112.0,2590.0,1298.0,1067.0,225.0,112.0,-1028.0,-700.0,-321.0,0.0
Room 06-20,197.0,1428.8,2.0,21.0,21.0,0.22,113.0,2611.0,1308.0,1079.0,224.0,113.0,-1019.0,-704.0,-307.0,0.0
Room 06-21,192.0,1386.1,2.0,20.0,20.0,0.22,112.0,2584.0,1293.0,1065.0,225.0,112.0,-998.0,-698.0,-293.0,0.0
Room 06-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2603.0,1303.0,1075.0,225.0,113.0,-1011.0,-702.0,-302.0,0.0
Room 06-23,193.0,1400.6,2.0,21.0,21.0,0.22,112.0,2593.0,1298.0,1070.0,225.0,112.0,-1004.0,-700.0,-297.0,0.0
Room 06-24,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2603.0,1303.0,1075.0,225.0,113.0,-1010.0,-702.0,-301.0,0.0
Room 06-25,190.0,1372.0,2.0,20.0,20.0,0.21,112.0,2574.0,1288.0,1061.0,225.0,112.0,-993.0,-696.0,-290.0,0.0
Room 06-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2615.0,1313.0,1078.0,224.0,114.0,-1047.0,-706.0,-334.0,0.0
Room 06-27,198.0,1434.5,2.0,21.0,21.0,0.22,110.0,2580.0,1323.0,1000.0,258.0,110.0,-1428.0,-697.0,-723.0,0.0
Room 06-28,148.0,1055.9,0.12,0,0,0.07,39.0,877.0,423.0,405.0,49.0,39.0,-601.0,-524.0,-73.0,0.0
Room 07-00,904.0,6407.1,0.8,48.0,48.0,0.49,279.0,5931.0,1902.0,3975.0,53.0,279.0,-2706.0,-363.0,-2327.0,0.0
Room 07-01,209.0,1520.6,2.0,21.0,21.0,0.24,127.0,2938.0,1254.0,1429.0,255.0,127.0,-1816.0,-727.0,-1080.0,0.0
Room 07-02,196.0,1418.9,2.0,21.0,21.0,0.24,126.0,2899.0,1205.0,1443.0,252.0,126.0,-1366.0,-720.0,-638.0,0.0
Room 07-03,200.0,1447.5,2.0,21.0,21.0,0.24,127.0,2930.0,1215.0,1463.0,252.0,127.0,-1363.0,-724.0,-631.0,0.0
Room 07-04,194.0,1404.5,2.0,21.0,21.0,0.24,125.0,2892.0,1200.0,1440.0,252.0,125.0,-1335.0,-718.0,-609.0,0.0
Room 07-05,198.0,1433.1,2.0,21.0,21.0,0.24,126.0,2914.0,1210.0,1452.0,252.0,126.0,-1350.0,-722.0,-620.0,0.0
Room 07-06,196.0,1418.9,2.0,21.0,21.0,0.24,126.0,2897.0,1205.0,1440.0,252.0,126.0,-1338.0,-720.0,-610.0,0.0
Room 07-07,198.0,1433.1,2.0,21.0,21.0,0.24,126.0,2910.0,1210.0,1448.0,252.0,126.0,-1347.0,-722.0,-616.0,0.0
Room 07-08,192.0,1390.0,2.0,20.0,20.0,0.24,124.0,2871.0,1195.0,1425.0,252.0,124.0,-1320.0,-716.0,-596.0,0.0
Room 07-09,201.0,1462.0,2.0,21.0,21.0,0.24,127.0,2934.0,1220.0,1461.0,252.0,127.0,-1366.0,-727.0,-632.0,0.0
Room 07-10,200.0,1453.2,2.0,21.0,21.0,0.24,127.0,2923.0,1217.0,1454.0,252.0,127.0,-1392.0,-725.0,-660.0,0.0
Room 07-11,145.0,1028.7,1.2,0,0,0.19,92.0,2232.0,1098.0,835.0,299.0,92.0,-1340.0,-576.0,-764.0,0.0
Room 07-12,290.0,2129.1,2.0,26.0,26.0,0.31,162.0,3685.0,1557.0,1862.0,266.0,162.0,-2719.0,-1382.0,-1325.0,0.0
Room 07-13,537.0,4010.7,0.47,0,0,0.31,174.0,3739.0,1626.0,2039.0,75.0,174.0,-3036.0,-1993.0,-1031.0,0.0
Room 07-14,196.0,1418.6,0.16,0,0,0.12,65.0,1392.0,567.0,799.0,27.0,65.0,-1128.0,-705.0,-419.0,0.0
Room 07-15,130.0,920.7,1.07,0,0,0.11,50.0,1309.0,421.0,621.0,267.0,50.0,-292.0,0.0,-292.0,0.0
Room 07-16,159.0,1136.4,1.32,0,0,0.2,100.0,2431.0,1039.0,1062.0,330.0,100.0,-2152.0,-1152.0,-1000.0,0.0
Room 07-17,203.0,1476.2,4.3,65.0,65.0,0.27,143.0,3185.0,1504.0,1502.0,178.0,143.0,-837.0,-397.0,-430.0,0.0
Room 07-18,208.0,1516.1,2.0,21.0,21.0,0.24,126.0,2915.0,1342.0,1310.0,263.0,126.0,-1792.0,-705.0,-1079.0,0.0
Room 07-19,193.0,1400.6,2.0,21.0,21.0,0.24,124.0,2843.0,1289.0,1327.0,228.0,124.0,-1338.0,-695.0,-635.0,0.0
Room 07-20,197.0,1428.8,2.0,21.0,21.0,0.24,126.0,2870.0,1298.0,1344.0,227.0,126.0,-1335.0,-699.0,-628.0,0.0
Room 07-21,192.0,1386.1,2.0,20.0,20.0,0.24,124.0,2840.0,1284.0,1328.0,228.0,124.0,-1307.0,-693.0,-606.0,0.0
Room 07-22,195.0,1414.7,2.0,21.0,21.0,0.24,125.0,2861.0,1294.0,1340.0,228.0,125.0,-1322.0,-697.0,-617.0,0.0
Room 07-23,193.0,1400.6,2.0,21.0,21.0,0.24,125.0,2850.0,1289.0,1334.0,228.0,125.0,-1310.0,-695.0,-606.0,0.0
Room 07-24,195.0,1414.7,2.0,21.0,21.0,0.24,125.0,2862.0,1294.0,1340.0,228.0,125.0,-1318.0,-697.0,-613.0,0.0
Room 07-25,190.0,1372.0,2.0,20.0,20.0,0.24,124.0,2830.0,1279.0,1323.0,228.0,124.0,-1293.0,-691.0,-594.0,0.0
Room 07-26,199.0,1443.3,2.0,21.0,21.0,0.24,126.0,2912.0,1315.0,1335.0,262.0,126.0,-1359.0,-701.0,-650.0,0.0
Room 07-27,198.0,1434.5,2.0,21.0,21.0,0.24,122.0,2824.0,1314.0,1249.0,261.0,122.0,-1737.0,-693.0,-1035.0,0.0
Room 07-28,148.0,1055.9,0.12,0,0,0.09,52.0,1120.0,422.0,678.0,20.0,52.0,-841.0,-525.0,-313.0,0.0
Room 07-29,698.0,4837.8,0.6,36.0,36.0,0.52,293.0,6217.0,2576.0,3600.0,42.0,293.0,-2884.0,-1075.0,-1796.0,0.0
Room B1-00,0.0,1885.8,1.64,0,0,0.13,56.0,1592.0,647.0,535.0,411.0,56.0,-545.0,0.0,-545.0,0.0
Room B1-02,0.0,1922.2,1.67,0,0,0.13,57.0,1618.0,659.0,540.0,418.0,57.0,-525.0,0.0,-525.0,0.0
Room B1-04,0.0,35157.9,0.0,198.0,198.0,1.03,605.0,12322.0,6162.0,6586.0,-426.0,605.0,-3105.0,1024.0,-4093.0,0.0
Room B1-05,0.0,1602.2,0.7,13.0,13.0,0.11,55.0,1279.0,577.0,585.0,116.0,55.0,-1037.0,-728.0,-302.0,0.0
Room B1-06,0.0,1464.1,0.64,11.0,11.0,0.1,51.0,1186.0,528.0,552.0,107.0,51.0,-958.0,-665.0,-286.0,0.0
Room B1-07,0.0,1582.5,0.69,12.0,12.0,0.1,54.0,1257.0,570.0,572.0,115.0,54.0,-1130.0,-719.0,-403.0,0.0
Room B1-08,0.0,3547.0,1.55,28.0,28.0,0.21,108.0,2521.0,1278.0,994.0,248.0,108.0,-1938.0,-1612.0,-311.0,0.0
Room B1-09,0.0,1202.1,1.05,0,0,0.09,39.0,1078.0,412.0,404.0,262.0,39.0,-128.0,0.0,-128.0,0.0
Room B1-10,0.0,1025.9,0.45,8.0,8.0,0.07,34.0,791.0,370.0,348.0,74.0,34.0,-605.0,-466.0,-134.0,0.0
Room B1-11,0.0,2418.0,1.05,19.0,19.0,0.15,75.0,1742.0,871.0,700.0,170.0,75.0,-1535.0,-1099.0,-425.0,0.0
Room B1-12,0.0,10308.0,0.0,58.0,58.0,0.29,170.0,3455.0,1807.0,1771.0,-123.0,170.0,-1281.0,300.0,-1568.0,0.0
T005 Telecom,207.0,2003.8,0.0,0,0,3.49,1989.0,41880.0,41138.0,742.0,0.0,1989.0,-199.0,0.0,-199.0,0.0
V001 Elevators,111.0,1034.7,0.9,0,0,0.08,35.0,964.0,355.0,384.0,225.0,35.0,-62.0,0.0,-62.0,0.0
Z001 Stair,200.0,1922.2,1.67,0,0,0.14,62.0,1733.0,659.0,656.0,418.0,62.0,-869.0,0.0,-869.0,0.0
Z002 Stair,196.0,1885.8,1.64,0,0,0.15,68.0,1842.0,647.0,785.0,411.0,68.0,-1292.0,0.0,-1292.0,0.0
